CustomerID,recency,purchase_cnt,user_total,user_average,item_cnt,average_interval,total_transactions,cancel_frequency,cancel_rate
14646,1,73,278778,3819,196556,0.16,73,1,0.01
18102,0,60,259657,4328,64124,0.82,60,0,0
17450,8,49,189576,3869,69021,1.02,49,3,0.06
14911,1,242,128768,532,76823,0.05,242,44,0.18
12415,24,24,123638,5152,76946,0.39,24,4,0.17
14156,9,64,113686,1776,56896,0.24,64,10,0.16
17511,2,45,88138,1959,63014,0.33,45,14,0.31
16684,4,30,65920,2197,49391,1.24,30,2,0.07
13694,3,57,62962,1105,61904,0.6,57,7,0.12
16029,38,66,60370,915,33687,1.22,66,4,0.06
15311,0,118,59284,502,37673,0.13,118,27,0.23
13089,2,118,57322,486,30742,0.17,118,21,0.18
15061,3,54,54250,1005,28638,0.87,54,6,0.11
14096,4,17,53258,3133,16336,0.02,17,0,0
17949,1,49,53216,1086,27572,4.72,49,5,0.1
15769,7,29,51824,1787,27660,2.42,29,3,0.1
14298,3,45,50862,1130,58021,0.21,45,1,0.02
14088,10,14,50415,3601,12593,0.52,14,1,0.07
17841,1,169,39861,236,22613,0.04,169,45,0.27
15098,182,4,39620,9905,61,0,4,1,0.25
13798,1,63,36353,577,23515,0.79,63,6,0.1
16422,17,60,34311,572,33584,0.85,60,9,0.15
12931,21,19,33545,1766,23577,3.29,19,4,0.21
16013,3,52,33453,643,13942,2.37,52,5,0.1
15838,11,20,33362,1668,9008,2.13,20,1,0.05
17389,0,42,31317,746,7442,1.44,42,8,0.19
17404,4,16,30176,1886,32320,1.77,16,3,0.19
12748,0,217,29820,137,23516,0.07,217,11,0.05
13098,1,41,28659,699,15911,0.49,41,13,0.32
13081,1,20,27972,1399,18930,0.34,20,9,0.45
13408,1,75,27888,372,16128,0.71,75,13,0.17
14680,25,23,26917,1170,12473,1.06,23,7,0.3
16333,7,22,26627,1210,32184,6.7,22,0,0
13777,0,40,25758,644,12807,1.65,40,7,0.17
17857,3,24,25186,1049,14652,7.18,24,2,0.08
15749,235,4,21536,5384,9014,6.93,4,1,0.25
16210,1,17,21076,1240,7558,3.01,17,0,0
12753,3,11,21024,1911,11250,1.55,11,5,0.45
17381,8,30,20272,676,25646,3.23,30,1,0.03
17675,1,41,20083,490,8277,0.48,41,10,0.24
15039,9,52,19639,378,9113,0.23,52,5,0.1
12731,23,14,18660,1333,8359,1.23,14,2,0.14
15159,1,34,18574,546,11394,0.48,34,4,0.12
17428,0,33,17078,518,9435,1.04,33,5,0.15
13881,3,22,16990,772,10062,1.67,22,2,0.09
13767,2,52,16946,326,7258,0.88,52,15,0.29
12921,3,50,16390,328,9454,0.47,50,13,0.26
12471,2,45,16324,363,7846,0.7,45,18,0.4
12901,8,34,16316,480,21299,2.03,34,6,0.18
12678,42,10,16291,1629,10876,1.94,10,1,0.1
17677,1,43,16201,377,9722,1.1,43,13,0.3
15856,4,31,15928,514,10799,0.55,31,4,0.13
15189,1,53,15802,298,6035,1.32,53,12,0.23
14051,0,26,15462,595,3740,1.66,26,3,0.12
16839,8,39,15362,394,8471,1.16,39,5,0.13
14031,7,22,14699,668,5371,1.4,22,3,0.14
15513,31,22,14520,660,5545,1.07,22,3,0.14
16133,3,46,14306,311,8737,0.81,46,13,0.28
14866,10,12,14161,1180,6568,3.47,12,1,0.08
16705,0,29,13946,481,5458,1.23,29,9,0.31
12433,0,7,13376,1911,11071,0.88,7,0,0
15498,2,30,13253,442,6090,0.69,30,3,0.1
12477,22,9,13117,1457,3620,0.93,9,3,0.33
17735,2,19,13110,690,8439,0.52,19,0,0
14258,9,10,12650,1265,7098,2.91,10,1,0.1
13078,1,43,12432,289,5557,0.92,43,17,0.4
16000,2,3,12394,4131,5110,0,3,0,0
15640,4,17,12337,726,6538,0.74,17,2,0.12
12621,1,23,12334,536,7333,0.78,23,3,0.13
12681,14,26,12310,473,7442,0.55,26,4,0.15
17340,9,15,12158,811,5903,0.83,15,4,0.27
12557,16,5,11991,2398,4384,11.03,5,0,0
16525,2,29,11896,410,6493,1.76,29,3,0.1
12939,64,8,11582,1448,4876,5.83,8,0,0
12540,19,19,11489,605,6612,0.72,19,2,0.11
14606,1,125,11487,92,5932,0.12,125,35,0.28
14194,4,32,11217,351,5783,0.48,32,11,0.34
15125,25,23,11117,483,5991,1.72,23,8,0.35
12409,78,7,11057,1580,5543,0.9,7,4,0.57
14895,7,24,11020,459,4823,0.61,24,4,0.17
12682,3,31,11020,355,5485,0.71,31,0,0
12971,3,88,10934,124,9204,1.09,88,2,0.02
13340,45,7,10736,1534,5770,1.73,7,0,0
17581,0,31,10716,346,5849,0.81,31,6,0.19
13319,5,36,10664,296,4686,0.7,36,10,0.28
17139,15,15,10568,705,5157,0.55,15,3,0.2
13113,0,39,10524,270,2596,1.27,39,15,0.38
14062,9,12,10465,872,5593,3.18,12,0,0
16779,2,28,10436,373,5212,1.04,28,6,0.21
14769,2,10,10382,1038,7208,0.33,10,2,0.2
17107,32,7,10362,1480,4526,0.58,7,1,0.14
15615,10,27,10360,384,5493,0.79,27,4,0.15
15251,9,15,10327,688,6084,1.88,15,4,0.27
16180,100,10,10217,1022,5853,0.85,10,2,0.2
16843,42,17,10184,599,10154,0.74,17,1,0.06
17865,30,27,10156,376,5697,0.84,27,7,0.26
17706,4,22,10097,459,3833,0.9,22,5,0.23
14607,15,15,9793,653,6966,2.31,15,3,0.2
13199,3,38,9789,258,6171,2.94,38,1,0.03
13001,4,15,9765,651,5482,0.93,15,2,0.13
15078,7,38,9623,253,5069,0.77,38,6,0.16
13458,7,22,9538,434,5460,0.87,22,8,0.36
