exp_name,learning_rate,num_epochs,batch_size,weight_decay,warmup_ratio,lr_scheduler,gamma,use_class_weights,train_loss,val_accuracy,val_f1_macro,val_f1_weighted,train_time_sec
focal_baseline,2e-05,3,16,0.01,0.1,linear,2.0,True,0.1568,0.9174,0.9176,0.918,116.3
focal_g1.5,2e-05,3,16,0.01,0.1,linear,1.5,True,0.1805,0.9226,0.9217,0.9225,114.4
focal_g2.5,2e-05,3,16,0.01,0.1,linear,2.5,True,0.1309,0.9205,0.9203,0.9209,116.9
focal_lr_1e-5,1e-05,3,16,0.01,0.1,linear,2.0,True,0.1846,0.9216,0.9209,0.9217,114.9
focal_lr_5e-5,5e-05,3,16,0.01,0.1,linear,2.0,True,0.1447,0.9278,0.9272,0.9278,114.7
focal_epoch_5,2e-05,5,16,0.01,0.1,linear,2.0,True,0.1089,0.9298,0.9301,0.9302,189.7
focal_wd_0,2e-05,3,16,0.0,0.1,linear,2.0,True,0.1529,0.9247,0.9239,0.9246,113.5
focal_wd_0.1,2e-05,3,16,0.1,0.1,linear,2.0,True,0.1517,0.9236,0.9233,0.924,112.3
focal_cosine,2e-05,3,16,0.01,0.1,cosine,2.0,True,0.1531,0.9257,0.925,0.9257,112.1
focal_no_warmup,2e-05,3,16,0.01,0.0,linear,2.0,True,0.12,0.9247,0.9245,0.9249,113.8
focal_no_cw,2e-05,3,16,0.01,0.1,linear,2.0,False,0.1541,0.9226,0.922,0.9227,109.1
