true_label,pred_label,count,mean_margin,min_margin,max_margin,error_pair
협박,기타괴롭힘,15,0.8780570572401086,0.3995553856658107,0.9883921248288292,협박 → 기타괴롭힘
기타괴롭힘,갈취,11,0.7499553791968349,0.022531897718878424,0.9835936064195693,기타괴롭힘 → 갈취
갈취,기타괴롭힘,9,0.8348857106812252,0.12212809950488929,0.9845949326650673,갈취 → 기타괴롭힘
협박,갈취,9,0.8515386448801721,0.5482134109956575,0.9767738307852062,협박 → 갈취
직장내괴롭힘,기타괴롭힘,8,0.7315954882832006,0.3822753001967878,0.9862215835460058,직장내괴롭힘 → 기타괴롭힘
갈취,협박,8,0.7693235154056346,0.32703203980818,0.973499729194844,갈취 → 협박
기타괴롭힘,협박,6,0.7302577889928371,0.3120699699340421,0.988455683865143,기타괴롭힘 → 협박
기타괴롭힘,직장내괴롭힘,3,0.7804719514457726,0.5866249810495603,0.9380803553793113,기타괴롭힘 → 직장내괴롭힘
갈취,직장내괴롭힘,2,0.8642661075812197,0.7886276764518776,0.9399045387105618,갈취 → 직장내괴롭힘
기타괴롭힘,일반대화,1,0.9846858497711658,0.9846858497711658,0.9846858497711658,기타괴롭힘 → 일반대화
일반대화,기타괴롭힘,1,0.9585962603921886,0.9585962603921886,0.9585962603921886,일반대화 → 기타괴롭힘
직장내괴롭힘,갈취,1,0.9720609919980134,0.9720609919980134,0.9720609919980134,직장내괴롭힘 → 갈취
일반대화,직장내괴롭힘,1,0.9875554649711782,0.9875554649711782,0.9875554649711782,일반대화 → 직장내괴롭힘
직장내괴롭힘,협박,1,0.7408823866781699,0.7408823866781699,0.7408823866781699,직장내괴롭힘 → 협박
협박,직장내괴롭힘,1,0.890884208520625,0.890884208520625,0.890884208520625,협박 → 직장내괴롭힘
