idx,true_label,pred_label,is_on_axis,hits_true,hits_pred,net_advantage
6,3,1,True,0,0,0
33,4,3,False,0,0,0
99,3,1,True,0,0,0
100,0,3,False,0,0,0
119,1,3,True,1,0,1
123,0,3,False,0,0,0
127,3,1,True,0,1,-1
130,2,3,True,0,0,0
141,3,1,True,0,0,0
143,3,1,True,0,0,0
156,0,1,True,1,1,0
177,3,1,True,0,0,0
189,3,0,False,0,0,0
208,0,1,True,0,2,-2
214,0,1,True,0,0,0
227,2,3,True,0,0,0
229,3,1,True,0,0,0
242,3,1,True,0,0,0
257,3,2,True,0,0,0
262,0,1,True,0,1,-1
290,3,1,True,0,0,0
307,1,0,True,0,0,0
313,3,1,True,0,0,0
317,3,1,True,0,0,0
347,0,3,False,0,0,0
349,3,1,True,0,0,0
350,2,3,True,0,0,0
357,0,1,True,0,0,0
372,0,3,False,0,0,0
374,2,3,True,0,0,0
376,0,2,False,0,0,0
402,3,1,True,0,0,0
446,2,3,True,0,0,0
464,2,1,False,0,0,0
482,2,1,False,0,1,-1
486,3,1,True,0,0,0
505,3,1,True,0,0,0
506,0,1,True,0,0,0
519,0,3,False,0,0,0
530,3,0,False,0,0,0
541,4,3,False,0,0,0
557,0,1,True,0,0,0
595,0,1,True,0,2,-2
615,3,0,False,0,1,-1
620,1,3,True,0,0,0
639,3,0,False,0,0,0
648,2,1,False,0,1,-1
654,1,3,True,1,0,1
660,0,3,False,0,0,0
662,3,1,True,0,0,0
701,2,3,True,0,0,0
704,0,1,True,0,0,0
714,1,0,True,3,1,2
737,1,3,True,0,0,0
749,4,2,False,0,0,0
763,3,1,True,0,1,-1
765,0,1,True,0,0,0
768,2,3,True,0,0,0
806,3,0,False,0,0,0
811,1,2,False,0,0,0
830,3,1,True,0,0,0
887,1,0,True,0,0,0
900,3,4,False,0,0,0
911,0,3,False,0,0,0
924,3,1,True,0,0,0
938,3,1,True,0,1,-1
947,0,3,False,0,0,0
961,0,1,True,0,0,0
