margin_threshold,boost_ratio,macro_f1,accuracy,delta_f1,n_changed,n_top2_hit
0.05,0.3,0.9301,0.9298,0.0,0,0
0.05,0.5,0.9301,0.9298,0.0,0,0
0.05,0.6,0.9301,0.9298,0.0,0,0
0.05,0.8,0.9301,0.9298,0.0,0,0
0.05,1.0,0.9301,0.9298,0.0,0,0
0.1,0.3,0.9301,0.9298,0.0,0,1
0.1,0.5,0.9301,0.9298,0.0,0,1
0.1,0.6,0.9301,0.9298,0.0,0,1
0.1,0.8,0.9301,0.9298,0.0,0,1
0.1,1.0,0.931,0.9309,0.001,1,1
0.15,0.3,0.9301,0.9298,0.0,0,2
0.15,0.5,0.9301,0.9298,0.0,0,2
0.15,0.6,0.9301,0.9298,0.0,0,2
0.15,0.8,0.9301,0.9298,0.0,0,2
0.15,1.0,0.931,0.9309,0.001,1,2
0.2,0.3,0.9301,0.9298,0.0,0,7
0.2,0.5,0.9301,0.9298,0.0,0,7
0.2,0.6,0.9301,0.9298,0.0,0,7
0.2,0.8,0.9301,0.9298,0.0,0,7
0.2,1.0,0.931,0.9309,0.001,1,7
0.25,0.3,0.9301,0.9298,0.0,0,9
0.25,0.5,0.9301,0.9298,0.0,0,9
0.25,0.6,0.9301,0.9298,0.0,0,9
0.25,0.8,0.9301,0.9298,0.0,0,9
0.25,1.0,0.931,0.9309,0.001,1,9
0.3,0.3,0.9301,0.9298,0.0,0,11
0.3,0.5,0.9301,0.9298,0.0,0,11
0.3,0.6,0.9301,0.9298,0.0,0,11
0.3,0.8,0.9301,0.9298,0.0,0,11
0.3,1.0,0.931,0.9309,0.001,1,11
